Position_Eng_Srce;Source
Clerk and Usher;Asia Directory & Chronicle
Clerk and Ward-Master;Asia Directory & Chronicle
Clerk for Disposal;Asia Directory & Chronicle
Clerk In Charge;Asia Directory & Chronicle
Clerk In Charge of Postal Department;Asia Directory & Chronicle
Clerk of Councils;Asia Directory & Chronicle
Clerk of Court;Asia Directory & Chronicle
Clerk of Courts;Asia Directory & Chronicle
Clerk of Works;Asia Directory & Chronicle
Clerk of Works Department;Asia Directory & Chronicle
Clerk Of-Works;Asia Directory & Chronicle
Clerk Smith;Asia Directory & Chronicle
Clerk Tidewaiter;Asia Directory & Chronicle
Clerk To Attorney-General;Asia Directory & Chronicle
Clerk To Commodore’S Secretary;Asia Directory & Chronicle
Clerk Unemployed;Asia Directory & Chronicle
Clinico;Asia Directory & Chronicle
Co-Director General;Asia Directory & Chronicle
Co-District Inspector;Asia Directory & Chronicle
Co-Manager;Asia Directory & Chronicle
Co-Proprietor;Asia Directory & Chronicle
Coadjutor;Asia Directory & Chronicle
Coal Agent;Asia Directory & Chronicle
Coal and General Merchant;Asia Directory & Chronicle
Coal Merchant;Asia Directory & Chronicle
Coal Transport Operator;Asia Directory & Chronicle
Coast Inspector and Harbour Master;Asia Directory & Chronicle
Coinmissario;Asia Directory & Chronicle
Coke Burner;Asia Directory & Chronicle
Collector of Police and Lighting Rates;Asia Directory & Chronicle
Collector of Revenue;Asia Directory & Chronicle
College Physician;Asia Directory & Chronicle
Colonel Commanding Imperial Troops In Shanghai;Asia Directory & Chronicle
Colonel of Customs;Asia Directory & Chronicle
Colonial Chaplain;Asia Directory & Chronicle
Colonial Secrertary;Asia Directory & Chronicle
Colonial Secretary;Asia Directory & Chronicle
Colonial Secretary and Acting Governor;Asia Directory & Chronicle
Colonial Secretary and Auditor General;Asia Directory & Chronicle
Colonial Surgeon;Asia Directory & Chronicle
Colonial Surgeon and Inspector of Hospitals;Asia Directory & Chronicle
Colonial Treasurer;Asia Directory & Chronicle
Colonial Veterinary Surgeon;Asia Directory & Chronicle
Colporteur;Asia Directory & Chronicle
Comandante;Asia Directory & Chronicle
Command Paymaster;Asia Directory & Chronicle
Commandant de la Garde;Asia Directory & Chronicle
Commandant First Company of Police;Asia Directory & Chronicle
Commandant in Charge;Asia Directory & Chronicle
Commandant L'Escorte;Asia Directory & Chronicle
Commandant Legation Guard;Asia Directory & Chronicle
Commandant of Guard;Asia Directory & Chronicle
Commandant of Legation Guard;Asia Directory & Chronicle
Commandant of Police;Asia Directory & Chronicle
Commandant of the Guard;Asia Directory & Chronicle
Commandant of the Port;Asia Directory & Chronicle
Commandant Second Company Police;Asia Directory & Chronicle
Commandant Superieur des Troupes;Asia Directory & Chronicle
Commandant-in-Chief;Asia Directory & Chronicle
Commandante;Asia Directory & Chronicle
Commander In Chief and Chief Superior;Asia Directory & Chronicle
Commander Legation Guard;Asia Directory & Chronicle
Commander of Guard;Asia Directory & Chronicle
Commander of the Commercial Port;Asia Directory & Chronicle
Commander of the Port;Asia Directory & Chronicle
Commander of the Torpedo Division;Asia Directory & Chronicle
Commander-in-Chief;Asia Directory & Chronicle
Commanding Royal Artillery;Asia Directory & Chronicle
Commercant;Asia Directory & Chronicle
Commerçant;Asia Directory & Chronicle
Commercial Agent;Asia Directory & Chronicle
Commercial Attache;Asia Directory & Chronicle
Commercial Manager;Asia Directory & Chronicle
Commercial Secretary;Asia Directory & Chronicle
Commis;Asia Directory & Chronicle
Commis Comptable;Asia Directory & Chronicle
Commis-Comptable;Asia Directory & Chronicle
Commis, Merchant and Proprietor;Asia Directory & Chronicle
Commissaire;Asia Directory & Chronicle
Commissario;Asia Directory & Chronicle
Commissary;Asia Directory & Chronicle
Commissary of Ordnance;Asia Directory & Chronicle
Commission Agent;Asia Directory & Chronicle
Commission Agent and Broker;Asia Directory & Chronicle
Commission Agent and Manager;Asia Directory & Chronicle
Commission Agent and Photographer;Asia Directory & Chronicle
Commission Agent and Storekeeper;Asia Directory & Chronicle
Commission Agent, Printer, Actioneer;Asia Directory & Chronicle
Commission and Insurance Agent;Asia Directory & Chronicle
Commission and Ship Agent;Asia Directory & Chronicle
Commission Merchant;Asia Directory & Chronicle
Commission Merchant and Proprietor;Asia Directory & Chronicle
Commissionaire;Asia Directory & Chronicle
Commissione;Asia Directory & Chronicle
Commissioner and Postmaster;Asia Directory & Chronicle
Commissioner In the East;Asia Directory & Chronicle
Commissioner of Customs;Asia Directory & Chronicle
Commissioner of Finance;Asia Directory & Chronicle
Commissioner-Comptables;Asia Directory & Chronicle
Commissionner;Asia Directory & Chronicle
Commodore;Asia Directory & Chronicle
Commodore In Charge;Asia Directory & Chronicle
Compositor;Asia Directory & Chronicle
Compounder;Asia Directory & Chronicle
Compradore;Asia Directory & Chronicle
Compradore and Navy Contractor;Asia Directory & Chronicle
Comptable;Asia Directory & Chronicle
Comptable Expeditionaire;Asia Directory & Chronicle
Comptable Magazinier;Asia Directory & Chronicle
Computer;Asia Directory & Chronicle
Computor;Asia Directory & Chronicle
Conducteur;Asia Directory & Chronicle
Conducteur de Travaux Publics;Asia Directory & Chronicle
Conducteur Principal;Asia Directory & Chronicle
Conductor;Asia Directory & Chronicle
Conductor Agricola;Asia Directory & Chronicle
Conductor das Obras Municipaes;Asia Directory & Chronicle
Conductor das Obras Publicas;Asia Directory & Chronicle
Conductor Interino;Asia Directory & Chronicle
Conductor of Public Works;Asia Directory & Chronicle
Conego;Asia Directory & Chronicle
Conego Ajudante do Bispo;Asia Directory & Chronicle
Conego Chaplain;Asia Directory & Chronicle
Confectioner;Asia Directory & Chronicle
Conseiller D'Ambassade;Asia Directory & Chronicle
Conseiller Medical;Asia Directory & Chronicle
Constable;Asia Directory & Chronicle
Constable and Postal Agent;Asia Directory & Chronicle
Constructing Engineer;Asia Directory & Chronicle
Consul Adjoint;Asia Directory & Chronicle
Consul and Accountant;Asia Directory & Chronicle
Consul and Interpreter;Asia Directory & Chronicle
Consul General and Consular Judge;Asia Directory & Chronicle
Consul In Charge;Asia Directory & Chronicle
Consul Suppleant;Asia Directory & Chronicle
Consul Suppléant;Asia Directory & Chronicle
Consul-Adjoint;Asia Directory & Chronicle
Consular Agent;Asia Directory & Chronicle
Consular Attache;Asia Directory & Chronicle
Consular Judge for China;Asia Directory & Chronicle
Consular Surgeon;Asia Directory & Chronicle
Consulting and Mill Engineer;Asia Directory & Chronicle
Consulting and Motor Engineer;Asia Directory & Chronicle
Consulting Civil Engineer;Asia Directory & Chronicle
Consulting Engineer and Marine Surveyor;Asia Directory & Chronicle
Consulting Engineer and Shipchandler;Asia Directory & Chronicle
Consulting Engineer and Surveyor;Asia Directory & Chronicle
Consulting Marine Engineer and Surveyor;Asia Directory & Chronicle
Consulting Mechanical Engineer;Asia Directory & Chronicle
Consulting Physician;Asia Directory & Chronicle
Contador;Asia Directory & Chronicle
Continuo;Asia Directory & Chronicle
Contractor;Asia Directory & Chronicle
Contractor and Provision Merchant;Asia Directory & Chronicle
Control Engineer;Asia Directory & Chronicle
Controller;Asia Directory & Chronicle
Controller of Police and Magistrate;Asia Directory & Chronicle
Controller of Stores;Asia Directory & Chronicle
Cook;Asia Directory & Chronicle
Cooper;Asia Directory & Chronicle
Coppersmith;Asia Directory & Chronicle
Corporal;Asia Directory & Chronicle
Correspondence Secretary To Director;Asia Directory & Chronicle
Corresponding Clerk;Asia Directory & Chronicle
Corresponding Secretary;Asia Directory & Chronicle
Cost Clerk;Asia Directory & Chronicle
Cotton and Yarn Broker;Asia Directory & Chronicle
Cotton Broker;Asia Directory & Chronicle
Cotton Controller and Sworn Measurer;Asia Directory & Chronicle
Cotton Mills Department;Asia Directory & Chronicle
Counsellor-at-Law;Asia Directory & Chronicle
Counter Clerk;Asia Directory & Chronicle
Coxswain;Asia Directory & Chronicle
Craft Superintendent;Asia Directory & Chronicle
Crown Solicitor;Asia Directory & Chronicle
Cupola Man;Asia Directory & Chronicle
Curate of the Cathedral;Asia Directory & Chronicle
Curator;Asia Directory & Chronicle
Curio Dealer;Asia Directory & Chronicle
Custodian;Asia Directory & Chronicle
Customs;Asia Directory & Chronicle
Customs Officer;Asia Directory & Chronicle
Cycle Expert;Asia Directory & Chronicle
Cypher Officer;Asia Directory & Chronicle
Dairy Secretary;Asia Directory & Chronicle
Danish Missionary;Asia Directory & Chronicle
Danish Vice-Consul;Asia Directory & Chronicle
Daqm General;Asia Directory & Chronicle
Deaconess Missionary;Asia Directory & Chronicle
Dealer In Curios;Asia Directory & Chronicle
Dean of Studies;Asia Directory & Chronicle
Deao;Asia Directory & Chronicle
Deão Cabido;Asia Directory & Chronicle
Delegado;Asia Directory & Chronicle
Demarcation Officer;Asia Directory & Chronicle
Denis de Lieutenant;Asia Directory & Chronicle
Dental Officer;Asia Directory & Chronicle
Dental Surgeon;Asia Directory & Chronicle
Department Assistant;Asia Directory & Chronicle
Department Commissioner;Asia Directory & Chronicle
Department Engineer;Asia Directory & Chronicle
Department Manager;Asia Directory & Chronicle
Department Sub-Manager;Asia Directory & Chronicle
Department Treasurer;Asia Directory & Chronicle
Departmental Manager;Asia Directory & Chronicle
Deputy Assistant;Asia Directory & Chronicle
Deputy Assistant Adjudant General;Asia Directory & Chronicle
Deputy Assistant Commissary General;Asia Directory & Chronicle
Deputy Assistant Superintendent;Asia Directory & Chronicle
Deputy Chief Clerk;Asia Directory & Chronicle
Deputy Clerk of Councils;Asia Directory & Chronicle
Deputy Coast Inspector;Asia Directory & Chronicle
Deputy Coast Inspector and Harbour Master;Asia Directory & Chronicle
Deputy Com;Asia Directory & Chronicle
Deputy Commissary;Asia Directory & Chronicle
Deputy Commissary General;Asia Directory & Chronicle
Deputy Commissary of Ordnance;Asia Directory & Chronicle
Deputy Commissioner of Custom;Asia Directory & Chronicle
Deputy Commissioner of Public Works;Asia Directory & Chronicle
Deputy Commissioner-in-Charge;Asia Directory & Chronicle
Deputy Consul;Asia Directory & Chronicle
Deputy Consul General;Asia Directory & Chronicle
Deputy Consul General for United States;Asia Directory & Chronicle
Deputy Consul General for United States of America;Asia Directory & Chronicle
Deputy Control Paymaster and Treasure;Asia Directory & Chronicle
Deputy Director of Pathology;Asia Directory & Chronicle
Deputy Engineer;Asia Directory & Chronicle
Deputy Engineer and Surveyor;Asia Directory & Chronicle
Deputy Foreman;Asia Directory & Chronicle
Deputy General Manager;Asia Directory & Chronicle
Deputy Harbour-Master;Asia Directory & Chronicle
Deputy Health Officer of the Port;Asia Directory & Chronicle
Deputy Inspector General;Asia Directory & Chronicle
Deputy Inspector-General;Asia Directory & Chronicle
Deputy Land Officer;Asia Directory & Chronicle
Deputy Marshal;Asia Directory & Chronicle
Deputy Naval Store Officer;Asia Directory & Chronicle
Deputy Officer;Asia Directory & Chronicle
Deputy Ord. Store Officer;Asia Directory & Chronicle
Deputy Overman;Asia Directory & Chronicle
Deputy Postal Agent;Asia Directory & Chronicle
Deputy Postmaster;Asia Directory & Chronicle
Deputy Purveyor;Asia Directory & Chronicle
Deputy Registar;Asia Directory & Chronicle
Deputy Registrar;Asia Directory & Chronicle
Deputy Registrar and Accountant;Asia Directory & Chronicle
Deputy Registrar and Appraiser;Asia Directory & Chronicle
Deputy Sanitary Inspector;Asia Directory & Chronicle
Deputy Shipping Master;Asia Directory & Chronicle
Deputy Superintendent;Asia Directory & Chronicle
Deputy Superintendent of Gaols;Asia Directory & Chronicle
Deputy Superintendent of Police;Asia Directory & Chronicle
Deputy Surgeon General and Principal Military Medical Officer;Asia Directory & Chronicle
Deputy Traffic Manager;Asia Directory & Chronicle
Deputy Treasurer;Asia Directory & Chronicle
Deputy-Assistant Commissary General;Asia Directory & Chronicle
Deputy-Commissioner;Asia Directory & Chronicle
Deputy-Inspector;Asia Directory & Chronicle
Deputy-Inspector of Police;Asia Directory & Chronicle
Desenhador;Asia Directory & Chronicle
Designer;Asia Directory & Chronicle
Dessinateur;Asia Directory & Chronicle
Detective;Asia Directory & Chronicle
Detective Inspector;Asia Directory & Chronicle
Detective Police Inspector;Asia Directory & Chronicle
Detective Sergeant;Asia Directory & Chronicle
Diamond Merchant;Asia Directory & Chronicle
Diplomatic Secretary;Asia Directory & Chronicle
Direct Factory Representative;Asia Directory & Chronicle
Directeur;Asia Directory & Chronicle
Directeur des Mouvements;Asia Directory & Chronicle
Directeur du Sanatorium;Asia Directory & Chronicle
Directing Manager;Asia Directory & Chronicle
Director and Acting Manager;Asia Directory & Chronicle
Director and Chief Engineer;Asia Directory & Chronicle
Director and General Managing Director;Asia Directory & Chronicle
Director and Manager;Asia Directory & Chronicle
Director and Secretary;Asia Directory & Chronicle
Director Dock and General;Asia Directory & Chronicle
Director Espiritual;Asia Directory & Chronicle
Director In Charge;Asia Directory & Chronicle
Director Interim;Asia Directory & Chronicle
Director of Criminal Investigation;Asia Directory & Chronicle
Director of Education;Asia Directory & Chronicle
Director of Medical Services;Asia Directory & Chronicle
Director Secretary;Asia Directory & Chronicle
Dispenser;Asia Directory & Chronicle
Dispenser In Charge;Asia Directory & Chronicle
Distiller;Asia Directory & Chronicle
Distribution Department;Asia Directory & Chronicle
Distribution Engineer;Asia Directory & Chronicle
District Accountant;Asia Directory & Chronicle
District Attorney;Asia Directory & Chronicle
District Deputy Commissioner;Asia Directory & Chronicle
District Engineer;Asia Directory & Chronicle
District Engineer Assistant;Asia Directory & Chronicle
District Inspector;Asia Directory & Chronicle
District Inspectorate;Asia Directory & Chronicle
District Manager;Asia Directory & Chronicle
District Officer;Asia Directory & Chronicle
District Officer and Magistrate;Asia Directory & Chronicle
District Passenger Agent;Asia Directory & Chronicle
District Paymaster;Asia Directory & Chronicle
District Postal Officer;Asia Directory & Chronicle
District Postmaster;Asia Directory & Chronicle
District River Inspector;Asia Directory & Chronicle
District Sergent-Major;Asia Directory & Chronicle
District Superintendent;Asia Directory & Chronicle
District Surveyor;Asia Directory & Chronicle
District-Accountant;Asia Directory & Chronicle
Diver;Asia Directory & Chronicle
Division Engineer;Asia Directory & Chronicle
Division Manager;Asia Directory & Chronicle
Division Secretary;Asia Directory & Chronicle
Divisional Adjudant;Asia Directory & Chronicle
Divisional Inspector and Harbour Master;Asia Directory & Chronicle
Divisional Manager;Asia Directory & Chronicle
Divisional Superintendent;Asia Directory & Chronicle
Divisonal Adjudant;Asia Directory & Chronicle
